ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2021-04-01T20:59:59-04:00,"Wednesday, Mar 31, 2021","Thursday, Apr 1, 2021",2021-04-01 00:23:00,2021-04-01 08:29:00,08:06:00,00:00:00,00:00:00,1,08:06:00,08:00:17,100.0,93.2,06:14:26,05:48:46,02:52:27,02:05:12,67.9,70.5,85.7,87.4,80.0,73.4,70,76,57,50,,,,,,,,,
2021-04-02T20:59:59-04:00,"Thursday, Apr 1, 2021","Friday, Apr 2, 2021",2021-04-02 01:35:00,2021-04-02 09:59:00,08:24:00,00:34:00,00:00:00,1,07:50:00,08:13:51,93.3,92.3,06:06:54,06:01:59,02:52:20,02:21:15,64.9,68.7,86.3,87.3,67.0,73.0,128,88,64,54,,,,,,,,,
2021-04-03T20:59:59-04:00,"Friday, Apr 2, 2021","Saturday, Apr 3, 2021",2021-04-03 01:15:00,2021-04-03 09:31:00,08:16:00,00:00:00,00:00:00,1,08:16:00,07:52:17,100.0,96.1,05:35:28,05:48:04,01:45:13,02:25:32,65.3,67.1,85.8,87.1,69.0,71.0,69,83,45,54,,,,,,,,,
2021-04-04T20:59:59-04:00,"Saturday, Apr 3, 2021","Sunday, Apr 4, 2021",2021-04-04 02:30:00,2021-04-04 10:02:00,07:32:00,00:00:00,00:00:00,1,07:32:00,07:47:08,100.0,98.2,05:22:36,05:48:33,02:45:44,02:36:32,65.7,66.3,83.2,87.1,69.0,70.6,68,79,50,53,,,,,,,,,
2021-04-05T20:59:59-04:00,"Sunday, Apr 4, 2021","Monday, Apr 5, 2021",2021-04-05 00:11:00,2021-04-05 07:00:00,06:49:00,00:00:00,00:00:00,1,06:49:00,07:39:08,100.0,98.2,05:23:36,05:46:31,02:16:20,02:34:35,68.8,66.5,84.9,86.0,64.0,70.1,119,88,56,56,,,,,,,,,
2021-04-06T20:59:59-04:00,"Monday, Apr 5, 2021","Tuesday, Apr 6, 2021",2021-04-06 00:30:00,2021-04-06 07:00:00,06:30:00,00:00:00,00:00:00,1,06:30:00,07:31:08,100.0,98.8,04:42:11,05:36:38,02:00:00,02:26:14,72.4,67.3,85.5,85.6,65.0,68.9,67,88,42,54,,,,,,,,,
2021-04-07T20:59:59-04:00,"Tuesday, Apr 6, 2021","Wednesday, Apr 7, 2021",2021-04-06 23:45:00,2021-04-07 07:00:00,07:15:00,00:00:00,00:00:00,1,07:15:00,07:28:17,100.0,99.0,05:03:44,05:29:51,02:00:00,02:21:43,68.2,67.6,84.4,85.1,66.0,68.6,106,90,71,55,,,,,,,,,
2021-04-08T20:59:59-04:00,"Wednesday, Apr 7, 2021","Thursday, Apr 8, 2021",2021-04-08 01:15:00,2021-04-08 06:45:00,06:01:00,00:00:00,00:00:00,2,06:01:00,07:10:25,100.0,99.0,04:37:12,05:15:57,02:00:00,02:14:13,70.4,68.0,90.2,85.8,68.0,66.9,73,90,51,54,,,,,,,,,
2021-04-09T20:59:59-04:00,"Thursday, Apr 8, 2021","Friday, Apr 9, 2021",2021-04-08 23:54:00,2021-04-09 06:45:00,06:51:00,00:13:00,00:00:00,1,06:38:00,07:00:08,96.8,99.5,04:57:27,05:06:02,01:43:11,02:04:21,70.7,68.8,85.9,85.7,67.0,66.9,107,87,61,54,,,,,,,,,
2021-04-10T20:59:59-04:00,"Friday, Apr 9, 2021","Saturday, Apr 10, 2021",2021-04-10 01:42:00,2021-04-10 08:30:00,06:48:00,00:08:00,00:00:00,1,06:40:00,06:46:25,98.0,99.3,05:22:24,05:04:10,02:42:58,02:12:36,70.8,69.6,97.8,87.4,74.0,67.6,230,110,75,58,,,,,,,,,
