ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2021-09-01T20:59:59-04:00,"Tuesday, Aug 31, 2021","Wednesday, Sep 1, 2021",2021-09-01 01:10:00,2021-09-01 07:58:00,06:48:00,00:00:00,00:00:00,1,06:48:00,06:40:42,100.0,96.8,04:56:24,04:36:55,02:25:43,01:54:44,68.7,68.7,84.3,85.6,66.0,66.8,40,89,28,50,,,,,,,,,
2021-09-02T20:59:59-04:00,"Wednesday, Sep 1, 2021","Thursday, Sep 2, 2021",2021-09-02 03:00:00,2021-09-02 10:04:00,07:04:00,00:00:00,00:00:00,1,07:04:00,06:38:42,100.0,97.1,05:24:14,04:43:58,02:31:26,01:58:29,70.3,68.5,90.4,86.7,73.0,66.7,85,84,48,49,,,,,,,,,
2021-09-03T20:59:59-04:00,"Thursday, Sep 2, 2021","Friday, Sep 3, 2021",2021-09-03 01:15:00,2021-09-03 10:02:00,08:47:00,00:00:00,00:00:00,1,08:47:00,06:53:25,100.0,97.5,05:22:24,04:50:50,01:30:21,01:58:25,66.3,68.5,88.3,87.0,70.0,67.3,59,81,43,48,,,,,,,,,
2021-09-04T20:59:59-04:00,"Friday, Sep 3, 2021","Saturday, Sep 4, 2021",2021-09-04 00:00:00,2021-09-04 06:28:00,06:28:00,00:00:00,00:00:00,1,06:28:00,06:58:00,100.0,98.2,04:01:23,04:46:50,01:44:28,01:57:09,59.6,66.7,87.3,87.3,59.0,66.6,69,69,45,42,,,,,,,,,
2021-09-05T20:59:59-04:00,"Saturday, Sep 4, 2021","Sunday, Sep 5, 2021",2021-09-04 23:54:00,2021-09-05 08:00:00,08:06:00,00:37:00,00:00:00,1,07:29:00,07:09:17,92.4,98.5,05:24:11,04:56:15,02:34:50,02:02:22,64.1,66.2,84.1,87.6,63.0,66.4,38,68,36,43,,,,,,,,,
2021-09-06T20:59:59-04:00,"Sunday, Sep 5, 2021","Monday, Sep 6, 2021",2021-09-06 01:58:00,2021-09-06 07:50:00,05:52:00,00:00:00,00:00:00,1,05:52:00,07:06:00,100.0,98.5,04:01:06,04:54:48,01:28:00,01:59:56,64.9,65.6,90.3,86.9,60.7,65.1,102,71,62,44,,,,,,,,,
2021-09-07T20:59:59-04:00,"Monday, Sep 6, 2021","Tuesday, Sep 7, 2021",2021-09-07 01:56:00,2021-09-07 11:03:00,09:07:00,00:48:00,00:00:00,1,08:19:00,07:15:17,91.2,97.7,05:14:29,04:54:53,01:42:44,01:59:38,68.4,66.0,89.8,87.8,67.0,65.5,69,66,43,43,,,,,,,,,
2021-09-08T20:59:59-04:00,"Tuesday, Sep 7, 2021","Wednesday, Sep 8, 2021",2021-09-07 23:45:00,2021-09-08 06:42:00,06:57:00,00:06:00,00:00:00,1,06:51:00,07:15:42,98.6,97.5,04:21:50,04:49:57,01:34:51,01:52:22,66.9,65.8,86.1,88.0,68.0,65.8,84,72,46,46,,,,,,,,,"Classes began"
2021-09-09T20:59:59-04:00,"Wednesday, Sep 8, 2021","Thursday, Sep 9, 2021",2021-09-08 23:30:00,2021-09-09 06:45:00,08:26:00,00:00:00,00:00:00,2,08:26:00,07:27:25,100.0,97.5,05:45:53,04:53:02,00:45:00,01:37:10,65.5,65.1,91.8,88.2,65.0,64.7,47,67,32,44,,,,,,,,,
2021-09-10T20:59:59-04:00,"Thursday, Sep 9, 2021","Friday, Sep 10, 2021",2021-09-10 01:16:00,2021-09-10 10:22:00,09:06:00,00:00:00,00:00:00,1,09:06:00,07:30:08,100.0,97.5,06:25:14,05:02:01,02:31:40,01:45:56,69.3,65.5,83.8,87.6,72.0,65.0,101,73,58,46,,,,,,,,,
2021-09-11T20:59:59-04:00,"Friday, Sep 10, 2021","Saturday, Sep 11, 2021",2021-09-11 01:37:00,2021-09-11 11:34:00,09:57:00,00:00:00,00:00:00,1,09:57:00,08:00:00,100.0,97.5,07:41:42,05:33:29,02:48:23,01:55:04,68.0,66.7,87.2,87.6,68.3,66.3,90,76,42,45,,,,,,,,,
2021-09-12T20:59:59-04:00,"Saturday, Sep 11, 2021","Sunday, Sep 12, 2021",2021-09-12 02:14:00,2021-09-12 10:38:00,08:24:00,00:00:00,00:00:00,1,08:24:00,08:07:51,100.0,98.5,06:32:03,05:43:11,02:28:14,01:54:07,64.8,66.8,89.7,88.4,67.0,66.9,61,79,52,48,,,,,,,,,
2021-09-13T20:59:59-04:00,"Sunday, Sep 12, 2021","Monday, Sep 13, 2021",2021-09-13 00:30:00,2021-09-13 07:01:00,06:31:00,00:00:00,00:00:00,1,06:31:00,08:13:25,100.0,98.5,05:04:56,05:52:18,01:30:14,01:54:26,61.4,66.3,82.0,87.2,60.0,66.8,71,75,52,46,,,,,,,,,
2021-09-14T20:59:59-04:00,"Monday, Sep 13, 2021","Tuesday, Sep 14, 2021",2021-09-14 00:45:00,2021-09-14 09:02:00,08:17:00,00:00:00,00:00:00,1,08:17:00,08:13:08,100.0,99.8,06:37:29,06:04:10,02:30:36,02:01:16,64.7,65.8,88.4,87.0,68.0,66.9,74,75,55,48,,,,,,,,,
2021-09-15T20:59:59-04:00,"Tuesday, Sep 14, 2021","Wednesday, Sep 15, 2021",2021-09-14 23:45:00,2021-09-15 06:57:00,07:12:00,00:00:00,00:00:00,1,07:12:00,08:16:08,100.0,100.0,05:24:31,06:13:07,01:32:34,02:00:57,64.5,65.5,84.0,86.7,61.0,65.9,61,72,37,47,,,,,,,,,
2021-09-16T20:59:59-04:00,"Wednesday, Sep 15, 2021","Thursday, Sep 16, 2021",2021-09-15 23:30:00,2021-09-16 07:00:00,07:30:00,00:00:00,00:00:00,1,07:30:00,08:08:08,100.0,100.0,05:52:13,06:14:01,01:15:00,02:05:14,68.6,65.9,77.8,84.7,53.0,64.2,46,72,36,48,,,,,,,,,
2021-09-17T20:59:59-04:00,"Thursday, Sep 16, 2021","Friday, Sep 17, 2021",2021-09-17 00:00:00,2021-09-17 11:22:00,11:22:00,00:00:00,00:00:00,1,11:22:00,08:27:34,100.0,100.0,08:28:59,06:31:42,02:01:15,02:00:53,69.0,65.9,85.3,84.9,65.0,63.2,90,70,53,47,,,,,,,,,
2021-09-18T20:59:59-04:00,"Friday, Sep 17, 2021","Saturday, Sep 18, 2021",2021-09-18 01:45:00,2021-09-18 09:56:00,08:11:00,00:00:00,00:00:00,1,08:11:00,08:12:25,100.0,100.0,05:39:41,06:14:16,01:29:16,01:49:35,67.2,65.8,92.1,85.6,69.0,63.3,58,66,36,46,,,,,,,,,
2021-09-19T20:59:59-04:00,"Saturday, Sep 18, 2021","Sunday, Sep 19, 2021",2021-09-19 01:15:00,2021-09-19 10:00:00,08:45:00,00:00:00,00:00:00,1,08:45:00,08:15:25,100.0,100.0,06:05:08,06:10:25,01:30:00,01:41:16,66.5,66.0,95.4,86.4,69.0,63.6,89,70,63,48,,,,,,,,,
2021-09-20T20:59:59-04:00,"Sunday, Sep 19, 2021","Monday, Sep 20, 2021",2021-09-20 01:00:00,2021-09-20 07:06:00,06:06:00,00:00:00,00:00:00,1,06:06:00,08:11:51,100.0,100.0,04:42:51,06:07:16,01:46:45,01:43:38,66.3,66.7,,,63.0,64.0,72,70,41,46,,,,,,,,,
